carrier,Flight_id,departure_airport,arrival_airport,date,take_off_time,landing_time,flight_time,price
Malta Air,FR 824,Venice M.Polo,Naples,2024-05-01,11:30,12:50,1:20,"66,54"
Malta Air,FR 868,Venice M.Polo,Naples,2024-05-01,15:40,17:00,1:20,"42,89"
Malta Air,FR 1553,Venice M.Polo,Naples,2024-05-01,19:35,20:55,1:20,"49,16"
Malta Air,FR 3653,Milan-Bergame,Bari,2024-05-01,11:05,12:40,1:35,"45,46"
Malta Air,FR 2770,Milan-Malpensa,Bari,2024-05-01,12:00,13:40,1:40,"38,05"
Malta Air,FR 4132,Milan-Bergame,Bari,2024-05-01,14:40,16:15,1:35,"39,44"
Malta Air,FR 6182,Milan-Malpensa,Bari,2024-05-01,19:50,21:30,1:40,"31,89"
Malta Air,FR 4658,Milan-Bergame,Bari,2024-05-01,20:55,22:30,1:35,"34,09"
Malta Air,FR 2293,Milan-Bergame,Pescara,2024-05-01,05:45,06:55,1:10,"34,09"
Malta Air,FR 3508,Milan-Bergame,Pescara,2024-05-01,21:50,23:00,1:10,"34,09"
Malta Air,FR 7075,Rome-Fiumicino,Bari,2024-05-01,17:45,18:50,1:5,"37,17"
Malta Air,FR 7077,Rome-Fiumicino,Bari,2024-05-01,20:55,22:00,1:5,"27,49"
Ryanair,FR 3946,Rome-Fiumicino,Palerme,2024-05-01,05:55,07:05,1:10,"40,69"
Ryanair,FR 4902,Rome-Fiumicino,Palerme,2024-05-01,08:05,09:15,1:10,"36,29"
Ryanair,FR 4906,Rome-Fiumicino,Palerme,2024-05-01,13:15,14:25,1:10,"40,69"
Ryanair,FR 4904,Rome-Fiumicino,Palerme,2024-05-01,15:55,17:05,1:10,"36,29"
Ryanair,FR 4908,Rome-Fiumicino,Palerme,2024-05-01,21:20,22:30,1:10,"36,29"
Ryanair,FR 5840,Rome-Fiumicino,Palerme,2024-05-01,23:45,00:55,1:10,"36,29"
Malta Air,FR 824,Venice M.Polo,Naples,2024-05-01,11:30,12:50,1:20,"66,54"
Malta Air,FR 868,Venice M.Polo,Naples,2024-05-01,15:40,17:00,1:20,"42,89"
Malta Air,FR 1553,Venice M.Polo,Naples,2024-05-01,19:35,20:55,1:20,"49,16"
Malta Air,FR 810,Venice M.Polo,Bari,2024-05-01,12:35,13:55,1:20,"99,13"
Malta Air,FR 4740,Venice M.Polo,Bari,2024-05-01,21:00,22:20,1:20,"34,09"
Malta Air,FR 5914,Milan-Malpensa,Naples,2024-05-01,09:40,11:15,1:35,"39,89"
Malta Air,FR 2285,Milan-Bergame,Naples,2024-05-01,10:50,12:15,1:25,"54,20"
Malta Air,FR 5936,Milan-Malpensa,Naples,2024-05-01,13:10,14:45,1:35,"39,59"
Malta Air,FR 3561,Milan-Bergame,Naples,2024-05-01,16:15,17:40,1:25,"39,59"
Malta Air,FR 3665,Milan-Bergame,Naples,2024-05-01,19:40,21:05,1:25,"34,09"
Malta Air,FR 5972,Milan-Malpensa,Naples,2024-05-01,20:35,22:10,1:35,"34,09"
Malta Air,FR 824,Venice M.Polo,Naples,2024-05-02,06:50,08:10,1:20,"58,29"
Malta Air,FR 868,Venice M.Polo,Naples,2024-05-02,16:20,17:40,1:20,"76,36"
Malta Air,FR 1553,Venice M.Polo,Naples,2024-05-02,20:50,22:10,1:20,"58,29"
Malta Air,FR 3653,Milan-Bergame,Bari,2024-05-02,07:15,08:50,1:35,"34,09"
Malta Air,FR 2770,Milan-Malpensa,Bari,2024-05-02,08:00,09:40,1:40,"27,49"
Malta Air,FR 4132,Milan-Bergame,Bari,2024-05-02,10:50,12:25,1:35,"34,09"
Malta Air,FR 4658,Milan-Bergame,Bari,2024-05-02,13:05,14:40,1:35,"39,59"
Malta Air,FR 6182,Milan-Malpensa,Bari,2024-05-02,15:50,17:30,1:40,"32,44"
Malta Air,FR 4667,Milan-Bergame,Bari,2024-05-02,17:05,18:40,1:35,Tarif Basic
Malta Air,FR 5914,Milan-Malpensa,Naples,2024-05-02,07:05,08:40,1:35,"34,09"
Malta Air,FR 2285,Milan-Bergame,Naples,2024-05-02,10:05,11:30,1:25,"34,09"
Malta Air,FR 5936,Milan-Malpensa,Naples,2024-05-02,15:45,17:20,1:35,"39,44"
Malta Air,FR 3665,Milan-Bergame,Naples,2024-05-02,19:30,20:55,1:25,"34,09"
