,station_departure,station_arrival,hour_departure,hour_arrival,date_departure,traject_lenght,prix
0,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-01,5h 22min,"105,00€"
1,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-01,5h 22min,"105,00€"
2,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-01,5h 23min,"105,00€"
3,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-01,5h 22min,"105,00€"
4,Venezia S. Lucia,Napoli Afragola,12:26,17:36,2024-05-01,5h 10min,"105,00€"
5,Venezia S. Lucia,Napoli Centrale,13:26,18:48,2024-05-01,5h 22min,"105,00€"
6,Venezia S. Lucia,Napoli Centrale,14:26,19:48,2024-05-01,5h 22min,"105,00€"
7,Venezia S. Lucia,Napoli Centrale,15:26,20:48,2024-05-01,5h 22min,"105,00€"
8,Venezia S. Lucia,Napoli Centrale,16:26,21:48,2024-05-01,5h 22min,"105,00€"
9,Venezia S. Lucia,Napoli Centrale,18:26,23:48,2024-05-01,5h 22min,"105,00€"
10,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-01,5h 22min,"25,90€"
11,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-01,5h 22min,"25,90€"
12,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-01,5h 23min,"60,90€"
13,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-01,5h 22min,"69,90€"
14,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-02,5h 22min,"36,90€"
15,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-02,5h 22min,"55,90€"
16,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-02,5h 23min,"69,90€"
17,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-02,5h 22min,"69,90€"
18,Venezia S. Lucia,Napoli Afragola,12:26,17:36,2024-05-02,5h 10min,"77,90€"
19,Venezia S. Lucia,Napoli Centrale,13:26,18:48,2024-05-02,5h 22min,"72,90€"
20,Venezia S. Lucia,Napoli Centrale,14:26,19:48,2024-05-02,5h 22min,"72,90€"
21,Venezia S. Lucia,Napoli Centrale,15:26,20:48,2024-05-02,5h 22min,"72,90€"
22,Venezia S. Lucia,Napoli Centrale,16:26,21:48,2024-05-02,5h 22min,"69,90€"
23,Venezia S. Lucia,Napoli Centrale,18:26,23:48,2024-05-02,5h 22min,"60,90€"
24,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-03,5h 22min,"36,90€"
25,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-03,5h 22min,"55,90€"
26,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-03,5h 23min,"69,90€"
27,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-03,5h 22min,"69,90€"
28,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-04,5h 22min,"105,00€"
29,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-04,5h 22min,"105,00€"
30,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-04,5h 23min,"105,00€"
31,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-04,5h 22min,"105,00€"
32,Venezia S. Lucia,Napoli Afragola,12:26,17:36,2024-05-04,5h 10min,"105,00€"
33,Venezia S. Lucia,Napoli Centrale,13:26,18:48,2024-05-04,5h 22min,"105,00€"
34,Venezia S. Lucia,Napoli Centrale,14:26,19:48,2024-05-04,5h 22min,"105,00€"
35,Venezia S. Lucia,Napoli Centrale,15:26,20:48,2024-05-04,5h 22min,"105,00€"
36,Venezia S. Lucia,Napoli Centrale,16:26,21:48,2024-05-04,5h 22min,"105,00€"
37,Venezia S. Lucia,Napoli Centrale,18:26,23:48,2024-05-04,5h 22min,"105,00€"
38,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-05,5h 22min,"36,90€"
39,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-05,5h 22min,"48,90€"
40,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-05,5h 23min,"69,90€"
41,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-05,5h 22min,"69,90€"
42,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-06,5h 22min,"25,90€"
43,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-06,5h 22min,"25,90€"
44,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-06,5h 23min,"60,90€"
45,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-06,5h 22min,"69,90€"
46,Venezia S. Lucia,Napoli Afragola,12:26,17:36,2024-05-06,5h 10min,"25,90€"
47,Venezia S. Lucia,Napoli Centrale,13:26,18:48,2024-05-06,5h 22min,"25,90€"
48,Venezia S. Lucia,Napoli Centrale,14:26,19:48,2024-05-06,5h 22min,"25,90€"
49,Venezia S. Lucia,Napoli Centrale,15:26,20:48,2024-05-06,5h 22min,"25,90€"
50,Venezia S. Lucia,Napoli Centrale,16:26,21:48,2024-05-06,5h 22min,"25,90€"
51,Venezia S. Lucia,Napoli Centrale,18:26,23:48,2024-05-06,5h 22min,"25,90€"
52,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-07,5h 22min,"25,90€"
53,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-07,5h 22min,"25,90€"
54,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-07,5h 23min,"60,90€"
55,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-07,5h 22min,"69,90€"
56,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-08,5h 22min,"25,90€"
57,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-08,5h 22min,"25,90€"
58,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-08,5h 23min,"60,90€"
59,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-08,5h 22min,"69,90€"
60,Venezia S. Lucia,Napoli Afragola,12:26,17:36,2024-05-08,5h 10min,"34,90€"
61,Venezia S. Lucia,Napoli Centrale,13:26,18:48,2024-05-08,5h 22min,"25,90€"
62,Venezia S. Lucia,Napoli Centrale,14:26,19:48,2024-05-08,5h 22min,"25,90€"
63,Venezia S. Lucia,Napoli Centrale,15:26,20:48,2024-05-08,5h 22min,"25,90€"
64,Venezia S. Lucia,Napoli Centrale,16:26,21:48,2024-05-08,5h 22min,"25,90€"
65,Venezia S. Lucia,Napoli Centrale,18:26,23:48,2024-05-08,5h 22min,"25,90€"
66,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-09,5h 22min,"36,90€"
67,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-09,5h 22min,"55,90€"
68,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-09,5h 23min,"69,90€"
69,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-09,5h 22min,"69,90€"
70,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-10,5h 22min,"36,90€"
71,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-10,5h 22min,"48,90€"
72,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-10,5h 23min,"69,90€"
73,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-10,5h 22min,"69,90€"
74,Venezia S. Lucia,Napoli Afragola,12:26,17:36,2024-05-10,5h 10min,"36,90€"
75,Venezia S. Lucia,Napoli Centrale,13:26,18:48,2024-05-10,5h 22min,"36,90€"
76,Venezia S. Lucia,Napoli Centrale,14:26,19:48,2024-05-10,5h 22min,"36,90€"
77,Venezia S. Lucia,Napoli Centrale,15:26,20:48,2024-05-10,5h 22min,"36,90€"
78,Venezia S. Lucia,Napoli Centrale,16:26,21:48,2024-05-10,5h 22min,"36,90€"
79,Venezia S. Lucia,Napoli Centrale,18:26,23:48,2024-05-10,5h 22min,"36,90€"
80,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-11,5h 22min,"36,90€"
81,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-11,5h 22min,"36,90€"
82,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-11,5h 23min,"60,90€"
83,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-11,5h 22min,"55,90€"
84,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-12,5h 22min,"36,90€"
85,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-12,5h 22min,"55,90€"
86,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-12,5h 23min,"69,90€"
87,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-12,5h 22min,"69,90€"
88,Venezia S. Lucia,Napoli Afragola,12:26,17:36,2024-05-12,5h 10min,"36,90€"
89,Venezia S. Lucia,Napoli Centrale,13:26,18:48,2024-05-12,5h 22min,"36,90€"
90,Venezia S. Lucia,Napoli Centrale,14:26,19:48,2024-05-12,5h 22min,"36,90€"
91,Venezia S. Lucia,Napoli Centrale,15:26,20:48,2024-05-12,5h 22min,"36,90€"
92,Venezia S. Lucia,Napoli Centrale,16:26,21:48,2024-05-12,5h 22min,"36,90€"
93,Venezia S. Lucia,Napoli Centrale,18:26,23:48,2024-05-12,5h 22min,"36,90€"
94,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-13,5h 22min,"25,90€"
95,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-13,5h 22min,"25,90€"
96,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-13,5h 23min,"60,90€"
97,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-13,5h 22min,"69,90€"
98,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-14,5h 22min,"25,90€"
99,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-14,5h 22min,"25,90€"
100,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-14,5h 23min,"60,90€"
101,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-14,5h 22min,"69,90€"
102,Venezia S. Lucia,Napoli Afragola,12:26,17:36,2024-05-14,5h 10min,"29,90€"
103,Venezia S. Lucia,Napoli Centrale,13:26,18:48,2024-05-14,5h 22min,"25,90€"
104,Venezia S. Lucia,Napoli Centrale,14:26,19:48,2024-05-14,5h 22min,"25,90€"
105,Venezia S. Lucia,Napoli Centrale,15:26,20:48,2024-05-14,5h 22min,"25,90€"
106,Venezia S. Lucia,Napoli Centrale,16:26,21:48,2024-05-14,5h 22min,"25,90€"
107,Venezia S. Lucia,Napoli Centrale,18:26,23:48,2024-05-14,5h 22min,"25,90€"
108,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-15,5h 22min,"25,90€"
109,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-15,5h 22min,"25,90€"
110,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-15,5h 23min,"60,90€"
111,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-15,5h 22min,"69,90€"
112,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-16,5h 22min,"36,90€"
113,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-16,5h 22min,"55,90€"
114,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-16,5h 23min,"69,90€"
115,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-16,5h 22min,"69,90€"
116,Venezia S. Lucia,Napoli Afragola,12:26,17:36,2024-05-16,5h 10min,"77,90€"
117,Venezia S. Lucia,Napoli Centrale,13:26,18:48,2024-05-16,5h 22min,"72,90€"
118,Venezia S. Lucia,Napoli Centrale,14:26,19:48,2024-05-16,5h 22min,"72,90€"
119,Venezia S. Lucia,Napoli Centrale,15:26,20:48,2024-05-16,5h 22min,"72,90€"
120,Venezia S. Lucia,Napoli Centrale,16:26,21:48,2024-05-16,5h 22min,"69,90€"
121,Venezia S. Lucia,Napoli Centrale,18:26,23:48,2024-05-16,5h 22min,"60,90€"
122,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-17,5h 22min,"36,90€"
123,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-17,5h 22min,"55,90€"
124,Venezia Mestre,Napoli Centrale,08:40,14:03,2024-05-17,5h 23min,"69,90€"
125,Venezia S. Lucia,Napoli Centrale,10:26,15:48,2024-05-17,5h 22min,"69,90€"
126,Venezia S. Lucia,Napoli Centrale,06:26,11:48,2024-05-18,5h 22min,"36,90€"
127,Venezia S. Lucia,Napoli Centrale,07:26,12:48,2024-05-18,5h 22min,"36,90€"
